[21:06:08] [info] VERTEX: Creating window: Game (1280, 720, 1.7777778)
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.80708
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 24.428844
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 30.718803
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 11.47747
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.639233
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.62159
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.766071
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.635418
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.649246
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.674042
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.580582
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.848087
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.617775
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.567707
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 58.93898
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 18.780708
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 17.396927
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 12.483597
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 17.647266
